"","Region","Life_expectancy","Adult_mortality","Hepatitis_B","Incidents_HIV","GDP_per_capita","Economy_status_Developed"
"509","Africa",46.2,494.9685,45,2.28,480,0
"510","Central America and Caribbean",77.5,103.8635,99,0.13,4665,0
"511","Africa",59.2,278.601,84,0.79,537,0
"512","Central America and Caribbean",72.1,154.8235,98,0.4,7207,0
"513","Rest of Europe",75.1,122.2765,93,0.03,6206,0
"514","Asia",73,130.4885,95,0.25,6488,0
"515","Asia",74.7,132.3135,99,0.02,2245,0
"516","Asia",70.4,145.432,99,0.14,2487,0
"517","European Union",81.4,71.3785,96,0.07,18000,1
"518","Rest of Europe",73.9,134.1205,93,0.02,5271,0
"519","Africa",63.7,205.0555,84,0.14,1489,0
"520","South America",63.6,231.344,77,0.21,2066,0
"521","Africa",64.5,233.744,97,0.86,631,0
"522","Middle East",77.3,77.1425,78,0.03,6684,0
"523","Middle East",75.4,111.4545,97,0.08,9587,0
"524","Central America and Caribbean",74,134.4545,93,0.54,4884,0
"525","Rest of Europe",71.3,172.978,92,0.36,2720,0
"526","European Union",81.3,72.379,98,0.08,40421,1
"527","Rest of Europe",75.3,116.691,92,0.02,5463,0
"528","Asia",67.5,185.272,73,0.08,1347,0
"529","Central America and Caribbean",73.2,152.7925,98,0.11,1916,0
"530","Asia",82.6,64.2585,83,0.17,33011,1
"531","Middle East",76.3,69.438,99,0.05,21188,0
"532","Africa",72.1,164.979,97,1.16,6022,0
"533","Africa",58,305.088,88,0.67,905,0
"534","European Union",74.2,147.2585,95,0.08,7451,1
"535","European Union",80.3,67.9805,88,0.06,45939,1
"536","European Union",80.1,67.2,60,0.08,43195,1
"537","Middle East",78.7,61.5415,81,0.04,7938,0
"538","European Union",80.6,79.341,88,0.08,43637,1
"539","Rest of Europe",69,245.7875,99,0.12,3522,0
"540","European Union",78.2,88.7525,99,0.08,16594,1
"541","Asia",67.9,230.9395,93,0.15,2018,0
"542","Africa",53.6,332.218,46,3.44,6983,0
"543","Rest of Europe",73.2,138.1465,91,0.02,4529,0
"544","Rest of Europe",76.9,80.349,99,0.03,3678,0
"545","Middle East",73.5,81.8995,99,0.13,39850,0
"546","Africa",56.4,298.2375,91,1.71,747,0
"547","Oceania",67.3,198.449,82,0.17,1535,0
"548","Africa",58.6,306.3965,96,0.4,319,0
"549","Oceania",65.7,175.731,84,0.17,3042,0
"550","Africa",52.2,297.0245,73,1.45,2845,0
"551","Middle East",81,64.414,99,0.08,31718,1
"552","Central America and Caribbean",71.9,187.4335,92,0.19,3591,0
"553","Rest of Europe",73.8,128.5365,90,0.03,5436,0
"554","Central America and Caribbean",70.5,203.491,99,0.27,3308,0
"555","North America",78.7,104.536,90,0.13,54213,1
"556","European Union",72.6,156.0375,96,0.02,5629,1
"557","South America",75,144.3625,96,0.24,8814,0
"558","European Union",83.1,59.454,95,0.09,24361,1
"559","South America",69.3,209.372,95,0.59,5577,0
"560","Middle East",72.6,126.257,99,0.05,21296,0
"561","Central America and Caribbean",72.5,165.809,74,0.46,5969,0
"562","Africa",51.1,307.785,67,1.48,2589,0
"563","Asia",58.4,259.469,84,0.81,487,0
"564","Africa",58.7,279.54,84,1.31,1176,0
"565","North America",79.3,79.395,14,0.1,34227,1
"566","Asia",81.1,72.954,83,0.17,31431,1
"567","South America",72.6,161.982,99,0.25,7937,0
"568","Middle East",72.9,105.2955,97,0.13,16095,0
"569","Asia",67.8,225.0725,99,0.02,3028,0
"570","Central America and Caribbean",72.3,167.619,80,0.49,5881,0
"571","South America",74.7,146.3165,96,0.24,9215,0
"572","Rest of Europe",71.2,201.674,46,0.24,2466,0
"573","European Union",77,119.573,96,0.08,11656,1
"574","Rest of Europe",69.2,230.8795,66,0.3,2215,0
"575","Central America and Caribbean",77.9,96.955,86,0.14,8158,0
"576","Central America and Caribbean",68.9,220.1275,99,0.41,2993,0
"577","Africa",52.8,365.883,37,0.42,780,0
"578","Oceania",69.9,147.075,87,0.17,3817,0
"579","Africa",54,326.1265,42,0.13,296,0
"580","Asia",75.9,82.273,99,0.1,8016,0
"581","Rest of Europe",74.6,87.182,96,0.02,2247,0
"582","South America",76.3,115.7035,94,0.2,11245,0
"583","Rest of Europe",66.7,292.2095,98,0.08,7950,0
"584","European Union",79.4,57.4125,96,0.06,26020,1
"585","Africa",64.7,255.781,95,0.1,9011,0
"586","Central America and Caribbean",75.4,124.3705,98,0.4,6881,0
"587","Central America and Caribbean",72,187.537,90,0.9,36178,0
"588","Middle East",64.5,244.445,79,0.02,2555,0
"589","Central America and Caribbean",75.7,124.7005,95,0.4,7427,0
"590","Africa",54.9,304,57,1.03,684,0
"591","Middle East",75.1,58.1365,99,0.13,29870,0
"592","European Union",78.1,97.1345,88,0.08,39351,1
"593","European Union",75.7,106.427,95,0.02,12550,1
"594","Central America and Caribbean",74,163.506,91,0.4,9800,0
"595","Africa",50.9,325.735,86,0.83,456,0
"596","North America",78.4,107.0105,92,0.13,51996,1
"597","Africa",71.1,133.3605,98,0.26,3011,0
"598","European Union",74.8,142.2675,98,0.08,8275,1
"599","North America",81.9,65.9695,55,0.1,43596,1
"600","Africa",56.2,338.17,52,0.65,310,0
"601","South America",73.1,148.2105,78,0.4,13825,0
"602","Africa",61.4,328.32,88,4.5,4782,0
"603","Rest of Europe",70.3,213.7115,48,0.28,2315,0
"604","Africa",55.3,332.154,46,4.39,15906,0
"605","Asia",67.4,230.153,96,0.02,2630,0
"606","North America",76.8,114.2395,89,0.13,48727,1
"607","Rest of Europe",68.1,260.3945,99,0.08,2912,0
"608","Asia",64,204.845,40,0.32,963,0
"609","Central America and Caribbean",72.4,141.3,92,0.4,9097,0
"610","Africa",46.8,411.5985,29,1.21,1685,0
"611","Asia",73.6,99.551,92,0.1,4319,0
"612","South America",73.1,147.169,78,0.4,10956,0
"613","Central America and Caribbean",75.7,139.537,98,0.1,15402,0
"614","Oceania",66.3,171.0075,79,0.07,1020,0
"615","Asia",58.8,271.4905,64,0.02,354,0
"616","South America",74.1,134.0135,93,0.16,4819,0
"617","South America",68.3,215.255,93,0.62,5089,0
"618","Africa",64.3,211.9,89,0.19,1150,0
"619","Africa",70.5,157.823,96,0.13,3473,0
"620","Africa",47.1,361.129,67,1.36,1847,0
"621","European Union",83.1,51.776,95,0.07,29980,1
"622","European Union",76,120.157,99,0.01,14890,1
"623","Africa",75.7,98.739,95,0.03,4043,0
"624","Rest of Europe",79,79.5075,88,0.08,43137,1
"625","Central America and Caribbean",69.7,213.592,94,0.35,3060,0
"626","Africa",54.6,365.4865,80,2.13,1247,0
"627","Rest of Europe",78,75.205,99,0.03,3953,0
"628","Africa",57.1,345.615,87,1.24,1344,0
"629","Africa",51,513.4755,93,10,1146,0
"630","Africa",53.6,368.1215,89,2.27,425,0
"631","Rest of Europe",81.2,65.1225,88,0.08,76785,1
"632","Africa",52.3,382.0835,74,3.5,480,0
"633","Asia",60.3,243.8905,84,0.51,539,0
"634","Africa",56.4,294.2555,58,3.5,578,0
"635","South America",68.3,207.3055,84,0.96,6816,0
"636","Africa",51.4,470.342,83,11.07,3111,0
"637","Africa",59.9,321.4315,78,2.45,821,0
"638","Asia",66.7,186.7545,82,0.17,675,0
"639","Middle East",74.7,87.974,98,0.13,20628,0
"640","Asia",68.6,177.9465,87,0.06,1606,0
"641","European Union",78.1,92.0385,99,0.08,16607,1
"642","European Union",78,98.426,95,0.07,96270,1
"643","Africa",55.1,362.5215,84,1.87,1248,0
"644","European Union",78.5,64.721,88,0.04,24798,1
"645","Rest of Europe",75.1,118.42,87,0.03,5834,0
"646","South America",73.5,137.505,93,0.18,4439,0
"647","Africa",57.2,323.2315,88,1.78,791,0
"648","South America",76.1,142.829,91,0.2,5867,0
"649","Asia",69.9,181.1225,83,0.2,2981,0
"650","Africa",53.4,501.4985,76,11.64,5374,0
"651","European Union",74.3,165.233,94,0.09,14264,1
"652","European Union",75.7,114.2985,98,0.08,14070,1
"653","European Union",81.5,60.1245,96,0.08,33530,1
"654","Oceania",80.9,70.233,95,0.04,35916,1
"655","Africa",50.9,376.179,49,0.75,2404,0
"656","Asia",74.2,160.1755,98,0.23,5164,0
"657","European Union",73,148.4445,96,0.03,6460,1
"658","Africa",44.4,532.8745,45,3.09,459,0
"659","Central America and Caribbean",71,169.61,95,0.43,1791,0
"660","Central America and Caribbean",59.8,271.8455,60,0.95,1339,0
"661","European Union",81.1,67.3475,95,0.08,44299,1
"662","Central America and Caribbean",69.4,186.951,68,1.02,4209,0
"663","Africa",57.4,317.1835,88,1.16,819,0
"664","Africa",49.9,432.824,91,2.9,361,0
"665","Africa",62.1,251.5445,90,0.88,1768,0
"666","European Union",79.3,59.577,85,0.08,18134,1
"667","South America",77.1,103.6575,94,0.14,9233,0
"668","Middle East",74.4,90.265,98,0.13,20176,0
"669","South America",76.3,141.448,90,0.19,6069,0
"670","Central America and Caribbean",71.6,167.402,99,0.4,7154,0
"671","Africa",50.6,495.7265,83,9.74,3298,0
"672","Africa",53.9,333.358,81,2.13,522,0
"673","Middle East",66.1,223.9525,73,0.03,2283,0
"674","Rest of Europe",76.4,100.353,92,0.08,4216,0
"675","Central America and Caribbean",75.4,138.0705,99,0.4,10280,0
"676","Asia",71.7,117.6445,98,0.17,6832,0
"677","Rest of Europe",74.1,128.387,95,0.08,3407,0
"678","Africa",51.7,441.99,64,3.78,610,0
"679","European Union",79.2,58.8095,96,0.05,26182,1
"680","Asia",56.8,298.8855,64,0.02,320,0
"681","Oceania",69.9,145.4525,84,0.17,3967,0
"682","Africa",43.2,703,70,10.27,1291,0
"683","European Union",77.9,100.072,77,0.06,92528,1
"684","Central America and Caribbean",75.8,137.808,98,0.1,13987,0
"685","Africa",52.6,311.4595,86,0.63,491,0
"686","Central America and Caribbean",74.3,154.8585,85,0.4,10141,0
"687","Oceania",69.5,190.4555,99,0.17,1871,0
"688","Asia",67.7,189.928,99,0.08,6433,0
"689","Middle East",78.3,63.957,97,0.05,57624,0
"690","Africa",48.3,397.18,18,1.05,1948,0
"691","Africa",59.9,302.9805,88,2.21,1261,0
"692","Africa",43.4,569.1065,88,14.53,962,0
"693","Asia",67,190.6185,64,0.2,2109,0
"694","Asia",73.4,137.514,89,0.26,1295,0
"695","Middle East",75,81.7285,98,0.05,22336,0
"696","South America",71.2,164.433,86,0.17,3816,0
"697","Central America and Caribbean",76.5,130.0025,99,0.2,14285,0
"698","Africa",49.1,355.0185,87,1.55,307,0
"699","Oceania",66.4,207.4675,99,0.05,4620,0
"700","Africa",62,294.858,88,2.59,381,0
"701","Africa",53.2,318.5825,57,1.15,661,0
"702","Africa",63.2,229.794,88,0.01,1258,0
"703","Africa",66.2,215.093,98,0.75,683,0
"704","Central America and Caribbean",76,136.0795,99,0.1,13525,0
"705","Asia",65.7,210.7895,98,0.08,3353,0
"706","Oceania",68.8,150.659,61,0.17,2877,0
"707","Rest of Europe",79.6,78.4095,88,0.08,44121,1
"708","Asia",68.5,213.764,97,0.21,966,0
"709","European Union",82.7,53.267,96,0.07,30258,1
"710","European Union",78.8,83.987,99,0.08,16951,1
"711","Central America and Caribbean",72,155.902,98,0.4,7029,0
"712","Africa",51.4,448.1755,93,4.25,587,0
"713","Africa",69.2,146.7395,84,0.06,1870,0
"714","European Union",74.8,153.3555,95,0.08,14205,1
"715","Central America and Caribbean",71.4,192.7545,89,0.21,3447,0
"716","Rest of Europe",69.6,197.1175,98,0.42,2255,0
"717","Asia",65.8,196.053,89,0.28,1197,0
"718","Asia",68.8,163.2835,92,0.17,821,0
"719","Africa",58.6,316.531,91,2.48,808,0
"720","Rest of Europe",70.4,223.1685,96,0.22,5622,0
"721","Central America and Caribbean",74.1,168.4155,98,0.87,4841,0
"722","Africa",57.1,312.9135,99,1.86,488,0
"723","Asia",64.5,164.6845,58,0.02,556,0
"724","Oceania",70.1,140.5855,82,0.17,4043,0
"725","Africa",62,277.011,85,2.08,2499,0
"726","Asia",65.4,197.7265,88,0.29,1168,0
"727","Oceania",64.9,182.694,85,0.17,2984,0
"728","Africa",74.3,151.6085,98,3.5,15158,0
"729","Asia",68.8,223.746,95,0.14,2387,0
"730","Oceania",70.7,169.032,87,0.17,2099,0
"731","Africa",58.7,250.933,87,0.64,1061,0
"732","Asia",70.8,196.2075,95,0.6,3605,0
"733","European Union",81.5,58.0775,94,0.04,45193,1
"734","European Union",81.1,76.9805,98,0.13,18833,1
"735","Middle East",62.9,247.6745,43,0.02,2472,0
"736","South America",71.1,171.5365,85,0.51,9593,0
"737","Africa",55.1,284.733,86,2.22,617,0
"738","Africa",52.6,442.735,87,6.29,1068,0
"739","Africa",57.2,293.086,94,1.55,724,0
"740","Middle East",76.5,72.9945,95,0.13,33246,0
"741","Africa",60.1,294.187,94,0.27,306,0
"742","Middle East",76.1,75.597,93,0.13,34580,0
"743","European Union",73.7,166.717,88,0.08,11937,1
"744","Africa",59.9,315.314,89,3.32,370,0
"745","Africa",55.3,370.455,87,0.7,828,0
"746","European Union",82.2,55.1645,96,0.07,31185,1
"747","Middle East",75.9,96.52,99,0.05,19868,0
"748","Asia",65.8,197.587,69,0.17,629,0
"749","Rest of Europe",74,130.945,93,0.02,5148,0
"750","European Union",82.2,77.9145,74,0.1,36205,1
"751","European Union",80.4,74.8405,95,0.1,21560,1
"752","South America",66.1,226.301,90,0.93,3966,0
"753","Africa",50.4,379.9755,63,0.79,2286,0
"754","South America",68.5,196.6465,95,0.18,2603,0
"755","Oceania",81.7,62.169,92,0.05,53543,1
"756","Middle East",73.3,116.897,98,0.13,4782,0
"757","Oceania",67.2,164.1365,72,0.08,1186,0
"758","Oceania",61.9,234.413,75,0.05,934,0
"759","South America",73.5,146.1335,87,0.14,5329,0
"760","South America",68.1,212.234,84,0.98,6488,0
"761","Asia",74.7,90.7325,99,0.1,6153,0
"762","Rest of Europe",74.8,121.4185,97,0.02,5344,0
"763","Middle East",66,226.386,73,0.03,2348,0
"764","Africa",57.2,332.583,88,3.5,590,0
"765","European Union",74.5,143.4055,98,0.08,7607,1
"766","European Union",74.6,136.0675,92,0.03,7075,1
"767","Asia",73,102.5235,84,0.1,3391,0
"768","European Union",80.8,89.724,39,0.11,35826,1
"769","European Union",77,104.5205,99,0.08,17047,1
"770","Africa",52.9,397.8705,86,0.85,588,0
"771","Middle East",79.5,57.8825,97,0.06,62733,0
"772","Africa",58.9,267.2085,88,0.23,639,0
"773","Central America and Caribbean",62.7,217.479,70,1.08,1087,0
"774","Africa",72.6,157.4485,97,1.05,6939,0
"775","Asia",71.4,193.594,95,0.14,10539,0
"776","South America",75.6,121.2325,91,0.14,13896,0
"777","European Union",77.1,89.055,95,0.05,43139,1
"778","Africa",62.6,269.618,90,2.06,2603,0
"779","Africa",56.9,290.8,64,0.93,689,0
"780","Oceania",69.7,156.677,91,0.17,3790,0
"781","Africa",62.1,259.5265,97,1.09,573,0
"782","Asia",65.1,252.831,98,0.02,2068,0
"783","Africa",73.3,178.6415,96,3.5,10915,0
"784","Middle East",74.4,116.383,83,0.13,1532,0
"785","European Union",71,225.2175,98,0.19,7849,1
"786","European Union",80.2,91.6715,35,0.11,35214,1
"787","Middle East",69.9,178.1065,41,0.13,979,0
"788","Asia",67.7,189.1485,66,0.22,2289,0
"789","Middle East",76.9,70.6545,98,0.13,35496,0
"790","Africa",57.1,280.9365,91,0.31,582,0
"791","Central America and Caribbean",58.7,287.5005,60,1.14,1284,0
"792","Africa",54.2,289.566,74,0.62,707,0
"793","Asia",67.9,182.9515,83,0.11,1048,0
"794","Africa",47.5,559.1865,83,21.68,2472,0
"795","Asia",69.1,206.2885,96,0.21,982,0
"796","Central America and Caribbean",72.6,179.4865,97,0.4,6977,0
"797","South America",67.5,219.435,93,0.71,4512,0
"798","Oceania",66.3,172.001,89,0.17,3015,0
"799","Central America and Caribbean",78.5,104.765,91,0.35,16619,0
"800","Oceania",64,215.9625,73,0.17,1541,0
"801","Middle East",75.6,73.874,97,0.05,22112,0
"802","South America",74.5,155.343,93,0.21,4638,0
"803","European Union",80.5,73.3235,88,0.03,40069,1
"804","Oceania",65.7,219.344,98,0.03,4107,0
"805","Asia",68.3,180.388,79,0.07,1503,0
"806","South America",72.7,155.121,82,0.4,4326,0
"807","European Union",79.4,86.023,94,0.08,39148,1
"808","European Union",76.8,108.859,97,0.01,15547,1
"809","Central America and Caribbean",75.4,142.994,97,0.1,18062,0
"810","Central America and Caribbean",72.4,182.1595,91,0.18,3706,0
"811","Central America and Caribbean",77.8,114.701,73,0.4,13630,0
"812","European Union",73.5,142.4175,95,0.03,6428,1
"813","Africa",54.9,356.677,78,3.5,544,0
"814","European Union",75.2,112.169,96,0.02,11400,1
"815","Africa",71.7,137.419,99,0.07,11583,0
"816","South America",62.5,240.0465,77,0.26,2059,0
"817","Asia",72.4,109.936,98,0.17,7553,0
"818","Oceania",68.4,161.244,61,0.17,2622,0
"819","Africa",53.6,443.15,98,15.74,3630,0
"820","Middle East",69.1,163.596,67,0.13,4337,0
"821","Africa",52.8,344.857,58,3.5,780,0
"822","Africa",56.1,277.9945,87,1.82,593,0
"823","Africa",53.6,416.7045,62,1.16,1559,0
"824","Central America and Caribbean",60.1,267.026,60,0.9,1396,0
"825","Africa",53.7,334.717,81,2.34,501,0
"826","Central America and Caribbean",72,172.336,90,0.53,34229,0
"827","Central America and Caribbean",72.7,157.757,98,0.12,1761,0
"828","Central America and Caribbean",72.2,174.802,90,0.4,18026,0
"829","Oceania",71.4,133.7445,44,0.17,4012,0
"830","Africa",57.7,311.1355,88,0.85,863,0
"831","Africa",46.5,594.7345,75,7.81,850,0
"832","Africa",59,272.1635,64,3.5,634,0
"833","Middle East",74.1,109.942,99,0.13,4164,0
"834","European Union",72.4,198.7445,93,0.19,12893,1
"835","Asia",66,166.197,75,0.01,674,0
"836","Rest of Europe",68.3,228.2265,95,0.44,2069,0
"837","Central America and Caribbean",72.9,151.4055,97,0.4,8058,0
"838","Africa",63.1,239.667,98,2.01,948,0
"839","Middle East",75,59.3025,96,0.13,30857,0
"840","Africa",64.9,238.5125,80,1.09,7385,0
"841","Africa",49.6,445.308,76,3.5,341,0
"842","Africa",57.8,250.914,87,0.68,1067,0
"843","Rest of Europe",73.6,133.0115,95,0.08,3099,0
"844","European Union",78,97.8795,60,0.08,35943,1
"845","European Union",79.6,56.015,96,0.06,25466,1
"846","Middle East",76.9,81.015,77,0.03,6668,0
"847","European Union",78.9,77.6135,95,0.06,49382,1
"848","Africa",73.6,107.7635,93,0.01,2980,0
"849","Africa",44,703.677,76,11.96,1715,0
"850","Asia",72.3,124.897,96,0.05,5500,0
"851","Central America and Caribbean",63.4,214.3245,43,0.89,1136,0
"852","Africa",53.1,356.2145,49,0.58,2687,0
"853","Asia",76.1,148.889,99,0.16,5840,0
"854","Rest of Europe",75.4,83.5945,98,0.03,2851,0
"855","European Union",74.9,130.962,94,0.04,8671,1
"856","Africa",54.8,336.8925,46,4.21,14620,0
"857","Asia",73.1,106.3215,99,0.1,34064,0
"858","Africa",42.7,588.7775,93,18.94,3060,0
"859","Africa",69.4,170.095,98,0.13,2830,0
"860","Africa",59.7,316.2765,79,5,1321,0
"861","Africa",52.4,459.654,73,3.71,1135,0
"862","Central America and Caribbean",62.1,246.6045,48,0.71,1371,0
"863","Africa",65.4,220.852,98,0.84,669,0
"864","Rest of Europe",82.1,53.1585,88,0.05,50947,1
"865","Africa",47.5,440.0625,77,1.21,516,0
"866","Middle East",79.6,57.076,89,0.06,62785,0
"867","Rest of Europe",82.7,54.1965,88,0.06,82678,1
"868","Africa",56.1,374.103,80,2.92,1239,0
"869","Asia",69.1,212.841,99,0.01,3875,0
"870","Africa",44.7,523.723,45,3.05,455,0
"871","Central America and Caribbean",73,171.547,97,0.4,7653,0
"872","Africa",57.8,328.5085,70,3.33,7662,0
"873","Africa",61,225.6,61,0.42,1283,0
"874","European Union",81.1,73.283,98,0.12,19250,1
"875","Asia",62.7,216.1595,85,0.39,753,0
"876","Africa",75.4,100.2005,95,0.03,4012,0
"877","Africa",59.5,301.7985,90,2.4,845,0
"878","South America",75.7,145.9445,85,0.22,5468,0
"879","Africa",54.3,395.016,90,3.41,692,0
"880","Africa",62.6,234.8335,89,0.01,1237,0
"881","Africa",59.6,275.155,87,0.72,554,0
"882","European Union",80.2,73.9955,95,0.07,45386,1
"883","Middle East",72.1,127.8375,95,0.13,3849,0
"884","European Union",81.3,60.819,88,0.05,44055,1
"885","European Union",78.1,67.9315,89,0.03,23018,1
"886","European Union",79.8,86.1695,94,0.08,40290,1
"887","European Union",72,197.9555,98,0.04,6423,1
"888","Africa",61.2,252.3375,76,3.5,754,0
"889","Rest of Europe",70.8,203.8,21,0.26,2450,0
"890","Africa",56.8,295.754,92,1.59,700,0
"891","South America",69.6,187.5935,84,0.75,8204,0
"892","European Union",80,81.406,88,0.02,20747,1
"893","South America",71.2,174.611,97,0.25,6896,0
"894","Africa",53.7,328.7635,42,0.13,280,0
"895","Africa",54.1,311.2915,57,1.09,655,0
"896","Central America and Caribbean",68.3,195.5055,96,0.22,1446,0
"897","Oceania",81.4,66.5335,93,0.03,37219,1
"898","Middle East",73.1,104.079,95,0.13,17385,0
"899","Africa",53.1,296.2785,83,2.81,566,0
"900","North America",81.6,67.445,70,0.1,42316,1
"901","Asia",77.7,68.362,99,0.17,9033,0
"902","Africa",49.9,518.279,93,10.88,1120,0
"903","Africa",63.5,227.2735,91,0.01,1243,0
"904","Central America and Caribbean",72.9,168.7145,90,0.4,18384,0
"905","Africa",61.6,219.9,68,0.32,1585,0
"906","Africa",55.7,333.529,92,0.61,306,0
"907","Middle East",77.3,68.5765,99,0.13,38663,0
"908","European Union",73.1,185.722,92,0.2,11240,1
"909","Oceania",66.8,167.5715,72,0.07,1104,0
"910","Asia",73.1,140.0585,86,0.02,1939,0
"911","South America",73,159.6305,96,0.25,8259,0
"912","Rest of Europe",68,229.8025,98,0.42,2004,0
"913","Central America and Caribbean",79.1,90.369,91,0.18,10945,0
"914","European Union",74.7,134.367,99,0.01,14488,1
"915","European Union",76,115.2275,88,0.02,17302,1
"916","Central America and Caribbean",78.4,94.6415,89,0.16,9725,0
"917","Africa",72.2,130.9605,98,0.09,14010,0
"918","North America",75.3,121.657,98,0.15,9214,0
"919","Oceania",61.7,236.9375,66,0.36,2077,0
"920","South America",71.5,151.0545,84,0.19,3282,0
"921","European Union",74,167.92,94,0.26,12796,1
"922","Asia",68.7,176.2165,98,0.13,1656,0
"923","European Union",80.1,80.7685,88,0.02,20157,1
"924","Asia",61.1,249.926,45,0.15,1112,0
"925","Asia",68.4,179.348,99,0.12,1560,0
"926","Asia",74.5,127.3235,96,0.17,8248,0
"927","European Union",80.5,83.842,97,0.15,19365,1
"928","Central America and Caribbean",71.5,165.7915,91,0.29,1846,0
"929","Oceania",70.9,143.1185,46,0.17,3949,0
"930","Africa",75.2,102.167,95,0.02,3957,0
"931","Africa",56.4,285.488,92,0.35,554,0
"932","Africa",50.7,304.195,83,3.31,578,0
"933","Asia",69.8,206.525,77,0.05,2433,0
"934","European Union",79.2,99.592,28,0.11,34015,1
"935","Africa",55.6,390.2415,93,4.4,359,0
"936","Central America and Caribbean",74.6,150.412,99,0.1,13793,0
"937","Central America and Caribbean",72.9,174.2165,98,0.4,7016,0
"938","Africa",53.1,422.489,71,2.36,2115,0
"939","Asia",63.7,167.8915,39,0.01,510,0
"940","Africa",57.2,252.352,75,1.21,3128,0
"941","Middle East",72.4,124.424,95,0.13,4148,0
"942","Central America and Caribbean",78.4,93.229,96,0.16,7138,0
"943","Africa",60.1,400.445,68,8.52,6232,0
"944","Middle East",80.2,69.3715,96,0.08,28810,1
"945","European Union",77.7,98.033,94,0.19,19110,1
"946","Rest of Europe",82.9,55.2385,88,0.05,51233,1
"947","Africa",72.1,166.0905,99,3.5,10790,0
"948","Africa",59,279.9295,98,1.34,708,0
"949","Africa",71.2,141.7245,91,0.06,10129,0
"950","Africa",54.4,304.8745,69,0.74,371,0
"951","Africa",71.9,127.3355,97,0.26,3050,0
"952","Rest of Europe",67.7,256.5475,66,0.67,1420,0
"953","Africa",58.3,299.0395,88,0.62,968,0
"954","European Union",77.9,94.405,84,0.08,34490,1
"955","Africa",63.4,233.9175,93,1.54,1397,0
"956","South America",66.9,208.323,88,0.18,2415,0
"957","Africa",61.4,311.7215,78,2.08,847,0
"958","European Union",72,213.151,98,0.16,9407,1
"959","European Union",71.6,165.474,99,0.05,5981,1
"960","Asia",62.2,228.9875,84,0.4,625,0
"961","Middle East",74.4,88.5395,97,0.05,23244,0
"962","South America",76.8,111.704,95,0.24,13433,0
"963","Middle East",73.2,123.188,96,0.08,8484,0
"964","Africa",58.9,424.9215,76,9.01,6183,0
"965","South America",76.6,106.8675,94,0.14,8727,0
"966","Africa",60.8,266.172,71,0.05,463,0
"967","Central America and Caribbean",72.9,165.9155,73,0.03,3903,0
"968","Africa",59.6,274.965,97,1.21,753,0
"969","North America",78.6,105.032,91,0.13,53395,1
"970","Oceania",72.1,119.683,64,0.17,4012,0
"971","Asia",62.7,231.569,50,0.17,1325,0
"972","Oceania",80.2,69.879,95,0.05,47997,1
"973","Africa",58.8,324.2835,88,2.33,1255,0
"974","Asia",82.2,53.8245,97,0.09,53300,0
"975","Africa",54.2,331.999,81,1.93,504,0
"976","Africa",62.2,256.191,82,0.29,2384,0
"977","Middle East",72.6,109.984,93,0.13,17691,0
"978","Africa",51.7,451.479,98,15.83,3624,0
"979","Africa",59.5,324.3455,94,0.35,731,0
"980","Africa",64.3,244.635,70,1.24,7350,0
"981","Asia",67.8,153.489,45,0.01,769,0
"982","European Union",80.7,73.7325,95,0.1,19401,1
"983","Rest of Europe",72.7,144.2585,78,0.08,2697,0
"984","Asia",65.8,190.7545,65,0.06,1868,0
"985","Asia",66.1,162.208,72,0.13,1290,0
"986","Asia",74.5,134.8,67,0.21,1752,0
"987","Rest of Europe",81,71.514,88,0.08,42772,1
"988","Africa",72.4,104.479,95,0.05,2242,0
"989","Central America and Caribbean",78.8,92.078,89,0.18,10237,0
"990","South America",70.8,177.768,92,0.25,6905,0
"991","European Union",75.6,133.9655,88,0.08,11710,1
"992","Rest of Europe",74,94.6955,96,0.01,1961,0
"993","Africa",61.4,284.405,62,2.04,2580,0
"994","South America",76.4,108.8855,94,0.15,8556,0
"995","Central America and Caribbean",74.2,154.2495,96,0.1,13220,0
"996","Asia",62.8,173.3405,59,0.01,468,0
"997","Oceania",69.2,196.3945,83,0.17,1827,0
"998","Oceania",65,211.21,96,0.17,1493,0
"999","Asia",58.3,278.3395,66,0.02,346,0
"1000","Central America and Caribbean",69.4,191.586,96,0.15,1585,0
"1001","Asia",61.9,222.7865,75,0.44,610,0
"1002","Rest of Europe",73,175.6015,97,0.23,6213,0
"1003","Rest of Europe",77.6,78.243,99,0.03,3781,0
"1004","Middle East",64,245.522,78,0.02,2543,0
"1005","Central America and Caribbean",73.8,167.83,84,0.4,9209,0
"1006","Africa",58.4,386.5745,91,4.29,1444,0
"1007","Asia",69.3,198.813,96,0.16,966,0
"1008","Central America and Caribbean",73,154.948,98,0.11,1851,0
"1009","Oceania",79.6,73.7145,94,0.04,45865,1
"1010","Middle East",70,145.7185,71,0.08,6544,0
"1011","Asia",66.6,160.141,72,0.13,1357,0
"1012","Asia",66,245.7,95,0.21,1572,0
"1013","Rest of Europe",73.2,138.1465,91,0.01,4432,0
"1014","European Union",80.5,83.0505,88,0.08,44467,1
"1015","Middle East",79.1,59.613,97,0.05,63002,0
"1016","South America",73.3,146.917,86,0.14,5130,0
"1017","Rest of Europe",72.3,150.293,79,0.01,3640,0
"1018","Africa",50.6,438.23,77,2.12,1575,0
"1019","Asia",74.1,95.1415,99,0.1,5129,0
"1020","Africa",56.6,351.1035,89,1.31,1306,0
